Data,MSE for different groups,Method
Folk_Income_Data,"[[0.14561888304972084, 0.1274730443447932, 0.10415949754901961, 0.2846272727272728, 0.11392820389184713, 0.13535670528348254, 0.01510909090909091, 0.1271576923076923, 0.1444], [0.1512029060149802, 0.13493660164504856, 0.11199079896686343, 0.2339262316763552, 0.1166290663989509, 0.14906797062779678, 0.03715672669022279, 0.13366460749653603, 0.09615845075773147], [0.14239905028679106, 0.1270972094669168, 0.10849812901954646, 0.23360748842270732, 0.11082094149163456, 0.138204623794906, 0.02068993191420925, 0.12636777103560168, 0.10017041741049743], [0.14267611575004527, 0.12719085589566334, 0.10902725446897828, 0.23579668314608015, 0.11067415638539758, 0.1397140177486286, 0.022867408142673806, 0.1270822323145417, 0.09160710261770827], [0.17002034587995932, 0.16887892376681615, 0.13389705882352945, 0.36363636363636365, 0.14699448919033492, 0.17390205371248027, 0.13818181818181818, 0.1207692307692308, 0.0], [0.15562747214146508, 0.139331087556359, 0.1227241789856947, 0.21924571737621987, 0.12470837553103091, 0.16297696097083214, 0.029179446132158525, 0.14038420042081376, 0.13728655703493553], [0.15536022819709747, 0.1392701791066375, 0.11834287167504236, 0.26340332701631924, 0.12127513011861187, 0.15333172954647706, 0.036770903520748584, 0.10410952392372949, 7.546713565008975e-10], [0.24290167303558285, 0.2391839345271431, 0.23952423854992086, 0.24407216150953437, 0.23939435715750926, 0.24274832775600705, 0.23616560070568873, 0.2411580399286632, 0.24215771986682982]]",original
Folk_Income_Data,"[0.1459325829621205, 0.12992371699053312, 0.10313098447712418, 0.2846272727272728, 0.11377191775365296, 0.13518229770054416, 0.01510909090909091, 0.1271576923076923, 0.1444]",mode
Folk_Income_Data,"[0.16261931641011435, 0.15275072726183747, 0.13798657268676723, 0.18406672328281956, 0.13521453677494594, 0.1585386792305241, 0.045525109227746934, 0.14925080108189073, 0.09160710261770827]",randomized
Folk_Income_Data,"[0.14561888304972084, 0.1274730443447932, 0.10415949754901961, 0.2846272727272728, 0.11392820389184713, 0.13535670528348254, 0.01510909090909091, 0.1271576923076923, 0.1444]",random_selection
Folk_Income_Data,"[0.14561888304972084, 0.1274730443447932, 0.10415949754901961, 0.2846272727272728, 0.11392820389184713, 0.13535670528348254, 0.01510909090909091, 0.1271576923076923, 0.1444]",reconcile
German_Data,"[[0.2128717391304347, 0.13610593220338985, 0.2351181818181818, 0.18004800000000004], [0.2125339443650891, 0.138950178125235, 0.25944183678190086, 0.17215047681236242], [0.22717521487963505, 0.1334327388388126, 0.2979421103624466, 0.18215776562742775], [0.21925461116603737, 0.1273250565522529, 0.33776795452394304, 0.17548453708973052], [0.2147826086956522, 0.16983050847457629, 0.3490909090909091, 0.13920000000000002], [0.22463768115942032, 0.18738229755178906, 0.4343434343434344, 0.20444444444444443], [0.20931740255750786, 0.14933501961129753, 0.3002652035040885, 0.17472414712462572], [0.20839759351037063, 0.21137295963169495, 0.34225441542947865, 0.1638541406459184]]",original
German_Data,"[0.22711304347826083, 0.1501516949152542, 0.22973636363636366, 0.162472]",mode
German_Data,"[0.22387870027023973, 0.1560779764724549, 0.2597942383836905, 0.1697178529774465]",randomized
German_Data,"[0.22717521487963505, 0.1334327388388126, 0.2979421103624466, 0.18215776562742775]",random_selection
German_Data,"[0.22313352828192487, 0.1433295598023867, 0.24189706466115507, 0.17472414712462572]",reconcile
Folk_Travel_Data,"[[0.21668052540700541, 0.20594599621829873, 0.21701173267326732, 0.21156934865900384, 0.2101283163265306, 0.19780304878048782, 0.1675, 0.20052857142857147, 0.1296], [0.21697513985327607, 0.20757246877770316, 0.21929192064114206, 0.21208717092601856, 0.20578455485681912, 0.1965808536194735, 0.19397842203047955, 0.1988597184947891, 0.1033230096127403], [0.2114001305294105, 0.20426931560376674, 0.2164702722054171, 0.20995502539760288, 0.19918877419892833, 0.19539697886428475, 0.18208980018302606, 0.19687194559143292, 0.05373415990235697], [0.21174525013611625, 0.20467469127073398, 0.21645207674448236, 0.20939275050009645, 0.19863537322674318, 0.1947214097500093, 0.17742806203522507, 0.1991933482832164, 0.05783019340909584], [0.22361052945625656, 0.2090671117745756, 0.2257968484663868, 0.2132595082956982, 0.21945838848241397, 0.2150719353276335, 0.12082544376476659, 0.22537683157819385, 0.027777777777777766]]",original
Folk_Travel_Data,"[0.21668052540700541, 0.20594599621829873, 0.21701173267326732, 0.21156934865900384, 0.2101283163265306, 0.19780304878048782, 0.1675, 0.20052857142857147, 0.1296]",mode
Folk_Travel_Data,"[0.2154007279709207, 0.20666292570860448, 0.2181484951289308, 0.21128062920495053, 0.2061359208069273, 0.20059990894065674, 0.16829077121012806, 0.20931652004637374, 0.05783019340909584]",randomized
Folk_Travel_Data,"[0.21668052540700541, 0.20594599621829873, 0.21701173267326732, 0.21156934865900384, 0.2101283163265306, 0.19780304878048782, 0.1675, 0.20052857142857147, 0.1296]",random_selection
Folk_Travel_Data,"[0.2114001305294105, 0.20426931560376674, 0.2164702722054171, 0.20995502539760288, 0.19918877419892833, 0.19539697886428475, 0.18208980018302606, 0.19687194559143292, 0.05373415990235697]",reconcile
